rank,h11,poly_idx,favorable,h11_eff,tier2_score,clean_h0_3,h0_ge3,max_h0,n_chi3,n_k3_fib,n_ell_fib,d3_min,d3_max,d3_n_distinct,d3_clean_values,n_overflow,elapsed_s
37,16,95,True,16,40,29,82,10,3240,3,1,-62.0,91.0,117,-34|-32|-29|-28|-26|-25|-24|-23|-22|-18|-16|0,0,44.7
38,19,2,False,16,40,24,64,10,2722,3,1,-62.0,97.0,98,-46|-40|-34|-28|-26|-25|-21|-20|0,0,39.0
39,17,34,False,16,40,22,56,10,2350,3,1,-54.0,108.0,116,-47|-46|-36|-34|-32|-29|-26|-25|-24|-23|-22|0,0,38.6
40,19,5,False,15,37,15,54,10,2290,3,1,-64.0,101.0,120,-46|-40|-37|-34|-32|-26|-24|0,0,31.4
1,16,22,False,13,45,111,440,10,12642,4,6,-61.0,102.0,152,-53|-47|-45|-38|-35|-34|-33|-32|-31|-30|-27|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-6|-5|-4|-3|2|3,0,190.6
2,17,58,False,13,45,102,520,6,15372,3,3,-59.0,102.0,154,-50|-48|-47|-46|-44|-43|-42|-40|-39|-37|-36|-35|-33|-32|-31|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-5|-4,0,221.9
3,17,45,False,13,45,61,404,16,10880,6,8,-77.0,118.0,157,-45|-37|-36|-34|-33|-32|-31|-30|-29|-26|-25|-24|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-5|-4|-3|-1,0,171.6
4,16,55,False,12,45,57,254,7,7942,5,6,-61.0,99.0,136,-35|-32|-30|-29|-25|-24|-22|-18|-17|-16|-14|-13|-12|-11|-9|-8|-6|-4|-3|-2|1,0,119.0
5,16,74,False,14,45,24,80,4,1940,5,10,-40.0,84.0,114,-31|-25|-23|-22|-21|-19|-17|-16|-15|-14|-13|-11|-10|-9,0,29.9
6,17,89,False,14,45,20,50,4,2394,3,3,-42.0,75.0,93,-36|-32|-28|-26|-23|-19|-17|-16|-15|-13|-12|-11|-8|-4,0,31.1
7,18,72,False,15,44,55,196,21,1940,4,4,-45.0,87.0,111,-42|-40|-36|-35|-29|-28|-27|-26|-25|-24|-22|-15|-11|-10|-9|-8|-7|-6|0,0,31.7
8,18,9,False,16,44,45,106,4,2838,4,4,-54.0,77.0,97,-27|-24|-19|-17|-16|-15|-14|-12|-11|-10|-8|-6|-4,0,38.0
9,18,85,False,16,44,41,162,4,2654,4,4,-54.0,74.0,110,-36|-35|-33|-32|-31|-30|-29|-26|-23|-18|-17|-15|-14|-11|-8|-7|-5|-4,0,43.3
10,16,33,True,16,44,37,84,4,2618,5,6,-42.0,64.0,81,-30|-28|-26|-24|-22|-20|-18|-16|-15|-14|-13|-12|-11|-10|-8,0,39.1
11,18,46,False,16,44,28,142,4,3218,4,4,-54.0,86.0,121,-41|-36|-31|-30|-26|-22|-21|-19|-17|-16|-14|-13|-8|-7|-4|-3|0,0,46.2
12,19,7,False,13,41,114,374,6,11604,3,1,-59.0,97.0,143,-51|-40|-39|-37|-36|-35|-34|-33|-31|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-10|-8|-7|-5|-4,0,110.0
13,16,51,False,12,41,109,486,12,11286,3,1,-57.0,104.0,148,-47|-43|-40|-37|-35|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-5|-4|-3|-2|0|1|4,0,137.4
14,16,43,False,12,41,98,544,13,12628,3,1,-66.0,108.0,162,-51|-44|-43|-40|-39|-38|-36|-35|-31|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-6|-4|-1|3,0,160.7
15,16,82,False,13,41,71,582,17,13240,3,1,-67.0,100.0,159,-45|-41|-40|-39|-38|-36|-34|-32|-30|-29|-28|-27|-26|-24|-22|-20|-19|-18|-17|-16|-15|-14|-13|-12|-10|-9|-8|-7|-5|-4|1,0,113.6
16,18,41,False,10,41,42,330,57,3572,3,1,-89.0,108.0,160,-52|-34|-32|-31|-30|-27|-24|-23|-20|-19|-15|-14|-13|-12|-11|-8|-6|-5|-3|-2|-1|0|2|3,0,30.0
17,17,4,False,11,41,34,204,16,4526,4,1,-88.0,114.0,160,-54|-44|-38|-36|-34|-32|-31|-30|-28|-27|-26|-24|-23|-21|-17|-11|-9|-7|-4|3|6,0,39.1
18,17,3,False,11,41,21,136,16,2924,4,1,-86.0,134.0,154,-40|-26|-24|-23|-20|-12|-8|-2|0|4,0,30.8
19,17,72,False,15,41,19,104,4,2682,4,4,-43.0,81.0,111,-24|-21|-20|-17|-16|-15|-14|-12|-11|-9|-8,0,38.9
20,16,32,True,16,41,19,72,6,3550,5,6,-43.0,81.0,103,-33|-29|-22|-20|-18|-17|-15|-14|-11|-9|-8|0,0,45.4
21,18,25,False,16,41,15,94,4,3102,4,4,-54.0,78.0,96,-26|-21|-18|-15|-12|-11|-9|-8|-2,0,42.5
22,18,81,False,16,41,10,20,3,2944,4,4,-27.0,73.0,89,-19|-14|-12|-11|-8|-7,0,43.7
23,18,92,False,17,40,11,22,3,1782,4,4,-26.0,56.0,62,-21|-20|-13|-8|-5|-4|-2,0,24.6
24,17,96,False,13,39,227,930,65,10208,2,1,-114.0,130.0,202,-67|-61|-60|-54|-52|-50|-49|-48|-47|-46|-45|-43|-42|-41|-40|-39|-38|-37|-36|-35|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-5|-4|-3|-1|0|2|5|8,0,181.0
25,18,40,False,14,39,35,154,13,2104,2,1,-64.0,110.0,121,-48|-40|-38|-37|-34|-32|-26|-25|-24|-22|-20|-18|-17|-16|-12|-8|-6|-5|-2|0|2,0,28.2
26,17,52,False,14,39,29,112,10,1800,2,1,-66.0,108.0,128,-43|-41|-36|-34|-33|-32|-31|-29|-28|-26|-24|-23|-21|-17|-13|-12|-10|-4|0,0,27.7
27,16,28,False,14,39,8,72,7,2364,4,4,-44.0,89.0,102,-35|-23|-20|-19|-18|-8|0,0,37.1
28,17,75,False,16,38,53,160,11,3202,2,1,-54.0,79.0,118,-35|-31|-29|-27|-25|-23|-21|-20|-19|-18|-16|-14|-13|-12|-11|-10|-9|-8|-2|0,0,48.2
29,17,76,False,16,38,28,156,9,2784,2,1,-54.0,83.0,111,-38|-31|-27|-22|-20|-19|-18|-16|-13|-12|-11|-10|-9|-8|0,0,44.5
30,16,9,False,14,38,17,36,13,2110,3,1,-31.0,73.0,94,-26|-21|-19|-18|-16|-14|-13|-11|-8|-7|-4,0,16.8
31,17,70,False,15,38,9,76,4,3158,5,6,-43.0,82.0,98,-35|-23|-22|-20|-18|-8,0,41.2
32,16,75,True,16,38,8,76,10,3294,8,11,-40.0,72.0,89,-30|-10|-8|-2|-1|0,0,46.3
33,19,66,False,17,37,40,108,8,1828,2,1,-29.0,76.0,77,-27|-25|-24|-22|-21|-20|-19|-18|-17|-14|-13|-12|-10|-8|-7|-6|-5|-3|-2|-1|0|1|2,0,25.0
34,19,22,False,17,36,16,40,5,1238,3,1,-25.0,72.0,63,-20|-17|-15|-14|-12|-10|-8|-3|0,0,18.8
35,18,94,False,17,36,5,10,3,1490,4,4,-23.0,71.0,75,-21|-20|-16|-8,0,13.7
36,19,75,False,18,35,15,38,5,1704,3,1,-25.0,55.0,50,-17|-14|-12|0,0,24.8
37,17,59,False,15,35,15,120,6,2480,2,1,-54.0,80.0,110,-38|-24|-19|-18|-16|-15|-13|-12|-11|-8,0,37.9
38,19,15,False,14,35,7,58,5,1680,4,1,-39.0,72.0,90,-21|-13|-11|-8|0,0,22.7
39,19,37,False,18,34,16,50,5,1360,2,1,-19.0,64.0,58,-19|-17|-14|-11|-10|-9|-8|0,0,22.1
40,19,39,False,17,34,13,46,5,1312,2,1,-24.0,64.0,64,-17|-13|-12|-11|-10|-9|-8|-3|0,0,18.1
1,16,3,False,13,45,86,458,15,16504,4,4,-63.0,95.0,144,-40|-35|-33|-32|-31|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-12|-11|-8|-4|0,0,229.6
2,16,40,False,13,45,69,324,7,11932,5,6,-68.0,101.0,148,-54|-45|-41|-38|-36|-33|-31|-29|-28|-27|-26|-25|-24|-22|-21|-19|-18|-15|-14|-13|-12|-9|-7|-5|-4|-2,0,188.7
3,18,86,False,16,44,40,120,4,2602,4,4,-54.0,80.0,110,-36|-31|-24|-21|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-6|-4,0,39.2
4,18,88,False,16,44,36,114,4,3160,4,4,-54.0,81.0,107,-37|-36|-31|-28|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-9|-5|-4,0,45.1
5,18,47,False,16,44,34,140,4,3238,4,4,-49.0,79.0,118,-40|-36|-24|-22|-21|-20|-19|-16|-15|-14|-13|-12|-8|-7|-6|-5|-4|-3|0,0,44.8
6,16,76,False,14,42,15,104,9,1956,4,6,-48.0,80.0,105,-18|-17|-16|-15|-9|-8|-7|-6|-5|0|1,0,26.5
7,16,83,True,16,40,56,170,10,3240,3,1,-54.0,84.0,119,-29|-27|-24|-23|-22|-21|-20|-19|-18|-16|-15|-14|-12|-11|-10|-9|-8|-5|-4|-2,0,49.3
8,18,75,False,15,40,40,132,4,2052,3,1,-54.0,85.0,115,-36|-35|-24|-22|-21|-19|-17|-14|-13|-11|-8|-7|-5|-4|-3|-2|9,0,32.8
9,18,69,False,15,40,33,102,10,2360,3,1,-54.0,84.0,112,-36|-26|-24|-23|-22|-19|-18|-16|-15|-14|-13|-12|-11|-8|-5|-4|-3,0,33.5
10,16,26,True,16,40,22,128,9,2730,3,1,-45.0,82.0,108,-35|-33|-25|-24|-22|-21|-20|-19|-18|-15|-14|-12|-11|-10|-8|0,0,41.1
11,16,66,True,16,40,22,46,10,2854,3,1,-54.0,98.0,102,-46|-40|-37|-34|-32|-27|-26|-25|-23|-12|0,0,43.2
12,15,14,False,13,39,76,588,44,11510,2,1,-62.0,107.0,159,-46|-43|-40|-29|-28|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-15|-14|-12|-9|-8|-7|-6|-5|-4|-3|-2|0,0,188.8
13,18,57,False,12,39,60,330,17,10528,2,1,-57.0,96.0,142,-40|-39|-38|-37|-36|-34|-33|-32|-31|-30|-28|-27|-25|-24|-23|-22|-20|-19|-14|-13|-12|-11|-10|-8|-7|-5|-4|-1|2,0,130.6
14,17,35,False,14,39,28,70,4,2144,2,1,-40.0,84.0,96,-36|-29|-24|-22|-20|-18|-17|-16|-15|-13|-12|-11|-10|-9|-8|-7|-4,0,28.2
15,19,64,False,11,39,25,146,18,3696,2,1,-57.0,104.0,139,-56|-51|-44|-43|-39|-30|-27|-22|-20|-15|-14|-13|-12|-9|-8|-6|-1|9,0,59.6
16,17,42,False,14,39,8,50,12,1404,6,8,-63.0,88.0,106,-35|-27|-24|-19|-17|-4,0,21.0
17,18,42,False,15,38,39,94,8,2544,2,1,-46.0,84.0,102,-46|-30|-22|-19|-18|-16|-15|-14|-13|-12|-9|-8|0,0,34.3
18,19,69,False,15,38,37,100,5,2356,2,1,-41.0,82.0,114,-41|-39|-38|-26|-25|-24|-23|-22|-20|-16|-14|-13|-12|-11|-10|-7|-6|-3|-1,0,26.3
19,18,67,False,16,38,37,98,10,2764,2,1,-54.0,87.0,106,-34|-24|-18|-16|-15|-14|-13|-12|-11|-10|-8|-5|-4|-3,0,30.9
20,17,20,False,15,38,35,96,4,3846,2,1,-45.0,75.0,104,-36|-32|-27|-26|-23|-20|-18|-17|-16|-15|-14|-13|-12|-10|-9|-8|-7,0,42.5
21,19,72,False,15,38,25,168,10,2806,2,1,-62.0,94.0,130,-41|-40|-33|-31|-30|-27|-24|-23|-17|-16|-12|-9|-8|-6|-5|-2|-1|1,0,35.3
22,17,7,False,15,38,9,40,4,3184,4,4,-35.0,68.0,86,-35|-22|-18|-14|-13|-8,0,39.9
23,19,19,False,16,37,16,52,10,2374,3,1,-62.0,97.0,98,-46|-40|-34|-28|-26|-22|-21|-20|-18|0,0,34.6
24,18,59,False,14,36,18,78,14,2420,2,1,-42.0,79.0,104,-30|-25|-11|-10|-9|-2|-1,0,30.7
25,17,9,False,13,35,181,876,15,10298,1,0,-83.0,119.0,174,-57|-55|-54|-53|-49|-47|-46|-45|-43|-41|-40|-39|-38|-37|-36|-35|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-5|-1|0|1|7,0,188.9
26,15,66,True,15,35,15,74,4,2244,2,1,-46.0,89.0,111,-41|-40|-36|-27|-26|-25|-23|-19|-17|-4,0,32.0
27,15,8,True,15,34,38,146,4,2552,1,0,-41.0,81.0,105,-24|-21|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-4,0,37.0
28,17,19,False,16,34,32,90,8,2578,1,0,-46.0,82.0,113,-38|-37|-35|-25|-23|-22|-20|-19|-18|-17|-16|-15|-12|-11|-8|-7|-5,0,37.3
29,18,39,False,16,34,29,208,16,2722,1,0,-62.0,108.0,143,-39|-34|-33|-32|-29|-27|-25|-24|-22|-20|-19|-18|-17|-15|-14|-13|-12|-8|-7|-2|-1,0,44.6
30,17,60,False,15,34,26,178,10,2188,1,0,-58.0,108.0,133,-45|-37|-31|-28|-24|-23|-22|-21|-20|-19|-17|-13|-10|-9|-8|-7|-5|-4|-1|1,0,32.6
31,17,17,False,15,34,26,190,10,2454,1,0,-58.0,108.0,137,-37|-31|-28|-24|-23|-21|-20|-19|-17|-13|-10|-9|-8|-7|-5|-4|-2|-1|1,0,33.7
32,15,28,True,15,34,24,128,4,2086,1,0,-43.0,81.0,104,-35|-28|-27|-26|-25|-24|-20|-19|-17|-15|-14|-9|-8|-5|-4|-2|4,0,35.0
33,18,84,False,14,34,4,48,4,1574,6,8,-43.0,67.0,75,-17|-13|-10|-8,0,21.8
34,19,71,False,17,33,35,92,6,2266,1,0,-27.0,60.0,75,-27|-24|-22|-21|-20|-16|-15|-14|-13|-12|-11|-9|-8|-6|-5|-3|-2|-1|0|1,0,28.5
35,18,53,True,18,33,28,60,5,1344,1,0,-26.0,70.0,63,-26|-21|-19|-15|-14|-13|-11|-10|-9|-8|-5,0,22.7
36,19,34,False,17,32,5,12,6,2244,3,1,-26.0,56.0,65,-26|-24|-18|0,0,24.7
37,15,35,True,15,32,3,86,4,2672,6,7,-40.0,81.0,91,-19|-18|-8,0,36.9
38,15,44,True,15,32,3,22,4,2622,4,6,-30.0,69.0,89,-20|-14|-8,0,35.7
39,17,95,False,15,31,17,68,10,1950,1,0,-56.0,81.0,102,-41|-33|-31|-29|-24|-12|-10|-9|-8|-5,0,29.6
40,19,44,False,18,29,16,46,4,966,1,0,-18.0,64.0,52,-18|-17|-15|-8,0,19.3
1,15,36,False,13,41,107,310,11,16474,3,1,-46.0,88.0,125,-40|-39|-33|-30|-29|-27|-26|-25|-24|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-5|-4|-3|0,0,226.2
2,16,52,False,12,41,94,388,4,9966,3,1,-54.0,108.0,139,-48|-38|-36|-34|-32|-30|-28|-26|-25|-24|-23|-22|-21|-20|-18|-16|-15|-14|-13|-12|-10|-8|-6|-4|-2,0,130.6
3,17,30,False,11,41,31,170,4,4534,4,1,-54.0,90.0,134,-40|-36|-31|-28|-26|-24|-22|-20|-17|-16|-13|-12|-11|-9|-8|-6|-4,0,60.1
4,17,36,False,15,40,40,122,16,2740,3,1,-46.0,80.0,107,-28|-18|-17|-16|-15|-14|-13|-12|-10|-8|-7|-4|-2|0,0,36.5
5,19,50,False,14,39,25,130,10,1550,2,1,-64.0,108.0,133,-36|-32|-30|-29|-28|-27|-25|-24|-23|-22|-20|-19|-18|-16|-11|-10|0,0,25.1
6,15,31,True,15,38,34,190,10,2770,2,1,-46.0,89.0,109,-41|-39|-35|-27|-22|-20|-19|-18|-17|-15|-14|-13|-9|-8|-7|-5|-4|0,0,38.2
7,18,62,False,14,38,16,80,4,1552,4,1,-40.0,83.0,101,-21|-19|-14|-12|-11|-10|-9|-8,0,25.3
8,17,5,False,9,38,13,118,16,1636,4,1,-74.0,108.0,123,-35|-29|-16|-15|-12|-8,0,22.5
9,15,10,False,14,36,11,36,4,1964,2,1,-40.0,68.0,93,-24|-20|-16|-14|-13|-11|-8,0,28.5
10,13,0,True,13,35,86,380,10,11114,1,0,-57.0,99.0,144,-51|-47|-42|-41|-39|-38|-36|-35|-34|-33|-32|-29|-28|-27|-26|-24|-23|-22|-17|-16|-15|-13|-12|-11|-9|-8|-7|-6|-5|-4,0,187.2
11,17,47,False,13,35,52,414,18,13262,1,0,-59.0,92.0,139,-39|-34|-33|-31|-29|-28|-26|-25|-24|-23|-22|-21|-19|-16|-15|-13|-12|-9|-8|-7|-6|-3,0,180.9
12,17,48,False,13,35,49,414,20,13456,1,0,-58.0,97.0,142,-43|-33|-31|-30|-29|-28|-27|-24|-23|-22|-21|-20|-18|-16|-15|-14|-12|-11|-10|-9|-8|-2,0,197.1
13,18,68,False,16,34,59,152,10,3052,1,0,-54.0,81.0,91,-34|-24|-18|-16|-15|-14|-13|-12|-11|-10|-9|-8|-5|-4|-3,0,43.3
14,17,92,False,16,34,44,140,6,3006,1,0,-54.0,83.0,117,-27|-26|-24|-23|-22|-21|-20|-19|-16|-15|-14|-13|-10|-9|-8|-7|-6,0,46.5
15,16,6,True,16,34,35,170,7,2840,1,0,-54.0,82.0,116,-33|-28|-27|-26|-21|-20|-19|-17|-16|-15|-14|-13|-10|-9|-8|-7|-6|-1|0,0,45.1
16,16,68,True,16,34,34,92,4,2812,1,0,-50.0,94.0,108,-41|-38|-36|-27|-25|-19|-18|-17|-16|-9|-7|-4,0,43.6
17,16,65,True,16,34,32,78,4,2594,1,0,-54.0,92.0,107,-41|-36|-27|-25|-20|-19|-18|-17|-16|-8|-6|-4,0,41.6
18,19,70,False,15,34,29,180,6,3024,1,0,-54.0,81.0,120,-32|-28|-21|-20|-19|-18|-16|-14|-13|-12|-11|-8|-5,0,40.8
19,16,70,True,16,34,29,72,4,2638,1,0,-54.0,75.0,105,-40|-27|-26|-19|-18|-17|-16|-15|-11|-9|-4,0,42.4
20,18,11,False,16,34,20,86,8,2414,1,0,-40.0,85.0,106,-40|-36|-33|-27|-26|-25|-19|-8|-7|-3|0,0,37.7
21,17,44,False,16,34,8,22,4,2792,4,1,-32.0,81.0,89,-32|-24|-19|-14|-12,0,40.0
22,19,73,False,18,33,44,104,10,1932,1,0,-48.0,60.0,80,-21|-20|-19|-18|-16|-15|-14|-13|-12|-8|-5|-4|-3|-2|-1|0,0,29.3
23,17,87,True,17,33,25,50,3,1292,1,0,-24.0,51.0,66,-24|-17|-14|-13|-12|-11|-10|-9|-8|-7|-6,0,18.7
24,16,88,False,14,32,19,100,18,1500,1,0,-51.0,88.0,120,-41|-40|-39|-35|-26|-24|-23|-20|-19|-11|-10|-9|-8|-7|-3,0,26.7
25,15,79,True,15,32,5,26,4,2392,2,1,-46.0,76.0,89,-33|-20|-14|-11|-8,0,38.1
26,16,36,False,15,31,16,124,6,2426,1,0,-46.0,89.0,118,-38|-35|-29|-26|-25|-24|-21|-18|-17|-16|-14|-11|-9|-8,0,35.8
27,17,99,False,16,31,15,70,6,2782,1,0,-38.0,79.0,102,-36|-33|-26|-24|-19|-17|-9|-8|-7|-3,0,38.4
28,17,83,True,17,31,5,10,3,1472,2,1,-21.0,59.0,62,-21|-18|-14|-13|-8,0,21.1
29,17,80,True,17,30,15,38,4,2016,1,0,-21.0,61.0,69,-21|-20|-19|-18|-17|-15|-14|-13|-12|-11|-8,0,24.7
